SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Fri May 12 15:40:23 EDT 2017
User: jcherston
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Number of Sampled Component Spectra: 1
Spectrometers: USB4F06975
Integration Time (usec): 100000 (USB4F06975)
Spectra Averaged: 1 (USB4F06975)
Boxcar Smoothing: 0 (USB4F06975)
Correct for Electrical Dark: No (USB4F06975)
Strobe/Lamp Enabled: No (USB4F06975)
Correct for Detector Non-linearity: No (USB4F06975)
Correct for Stray Light: No (USB4F06975)
Number of Pixels in Processed Spectrum: 3648
>>>>>Begin Processed Spectral Data<<<<<
346.57	1540.07
346.78	1540.07
346.99	1540.07
347.20	1466.35
347.41	1468.39
347.62	1640.42
347.83	1548.26
348.04	1587.18
348.25	1607.66
348.46	1624.04
348.67	1619.94
348.88	1601.51
349.09	1564.65
349.30	1595.37
349.51	1505.26
349.72	1619.94
349.93	1564.65
350.14	1587.18
350.35	1558.50
350.56	1658.85
350.77	1724.39
350.98	1619.94
351.19	1638.38
351.40	1624.04
351.61	1605.61
351.82	1568.74
352.03	1525.74
352.24	1638.38
352.45	1587.18
352.66	1642.47
352.87	1636.33
353.08	1599.46
353.29	1611.75
353.50	1673.19
353.71	1619.94
353.92	1624.04
354.13	1566.70
354.34	1581.03
354.55	1548.26
354.76	1531.88
354.97	1662.95
355.18	1630.18
355.39	1544.17
355.60	1665.00
355.80	1587.18
356.01	1521.64
356.22	1601.51
356.43	1646.57
356.64	1638.38
356.85	1595.37
357.06	1587.18
357.27	1609.70
357.48	1660.90
357.69	1609.70
357.90	1603.56
358.11	1572.84
358.32	1501.16
358.53	1570.79
358.74	1603.56
358.95	1572.84
359.16	1599.46
359.37	1554.41
359.58	1705.96
359.79	1568.74
360.00	1640.42
360.21	1656.81
360.42	1550.31
360.63	1550.31
360.84	1630.18
361.05	1568.74
361.26	1566.70
361.46	1595.37
361.67	1656.81
361.88	1669.09
362.09	1585.13
362.30	1609.70
362.51	1632.23
362.72	1591.27
362.93	1550.31
363.14	1617.90
363.35	1611.75
363.56	1644.52
363.77	1607.66
363.98	1587.18
364.19	1726.44
364.40	1519.59
364.61	1529.83
364.82	1558.50
365.03	1619.94
365.24	1613.80
365.44	1531.88
365.65	1574.89
365.86	1683.43
366.07	1658.85
366.28	1609.70
366.49	1646.57
366.70	1636.33
366.91	1693.67
367.12	1566.70
367.33	1636.33
367.54	1617.90
367.75	1603.56
367.96	1552.36
368.17	1578.98
368.38	1615.85
368.58	1613.80
368.79	1638.38
369.00	1626.09
369.21	1626.09
369.42	1599.46
369.63	1667.05
369.84	1560.55
370.05	1619.94
370.26	1574.89
370.47	1593.32
370.68	1648.61
370.89	1523.69
371.09	1544.17
371.30	1646.57
371.51	1556.46
371.72	1572.84
371.93	1603.56
372.14	1613.80
372.35	1628.14
372.56	1611.75
372.77	1525.74
372.98	1619.94
373.19	1578.98
373.40	1636.33
373.60	1581.03
373.81	1636.33
374.02	1542.12
374.23	1552.36
374.44	1564.65
374.65	1595.37
374.86	1609.70
375.07	1607.66
375.28	1636.33
375.49	1599.46
375.69	1646.57
375.90	1619.94
376.11	1589.22
376.32	1585.13
376.53	1556.46
376.74	1615.85
376.95	1617.90
377.16	1554.41
377.37	1601.51
377.58	1527.78
377.78	1581.03
377.99	1597.42
378.20	1636.33
378.41	1652.71
378.62	1654.76
378.83	1589.22
379.04	1673.19
379.25	1656.81
379.46	1609.70
379.66	1603.56
379.87	1591.27
380.08	1638.38
380.29	1554.41
380.50	1636.33
380.71	1558.50
380.92	1570.79
381.13	1644.52
381.33	1572.84
381.54	1699.81
381.75	1669.09
381.96	1527.78
382.17	1593.32
382.38	1634.28
382.59	1654.76
382.80	1597.42
383.00	1609.70
383.21	1638.38
383.42	1617.90
383.63	1529.83
383.84	1630.18
384.05	1669.09
384.26	1599.46
384.47	1660.90
384.67	1638.38
384.88	1603.56
385.09	1597.42
385.30	1712.10
385.51	1607.66
385.72	1595.37
385.93	1574.89
386.13	1535.98
386.34	1533.93
386.55	1607.66
386.76	1603.56
386.97	1632.23
387.18	1611.75
387.39	1544.17
387.59	1525.74
387.80	1660.90
388.01	1710.05
388.22	1660.90
388.43	1626.09
388.64	1589.22
388.85	1638.38
389.05	1605.61
389.26	1652.71
389.47	1587.18
389.68	1652.71
389.89	1581.03
390.10	1648.61
390.31	1595.37
390.51	1587.18
390.72	1677.29
390.93	1542.12
391.14	1578.98
391.35	1626.09
391.56	1603.56
391.76	1656.81
391.97	1638.38
392.18	1644.52
392.39	1642.47
392.60	1679.33
392.81	1542.12
393.01	1611.75
393.22	1595.37
393.43	1619.94
393.64	1562.60
393.85	1599.46
394.06	1638.38
394.26	1652.71
394.47	1581.03
394.68	1712.10
394.89	1572.84
395.10	1587.18
395.31	1683.43
395.51	1595.37
395.72	1523.69
395.93	1615.85
396.14	1554.41
396.35	1652.71
396.55	1546.22
396.76	1611.75
396.97	1644.52
397.18	1544.17
397.39	1601.51
397.60	1564.65
397.80	1615.85
398.01	1570.79
398.22	1658.85
398.43	1626.09
398.64	1492.97
398.84	1525.74
399.05	1585.13
399.26	1644.52
399.47	1523.69
399.68	1574.89
399.88	1652.71
400.09	1603.56
400.30	1587.18
400.51	1568.74
400.72	1628.14
400.92	1613.80
401.13	1626.09
401.34	1581.03
401.55	1693.67
401.76	1578.98
401.96	1595.37
402.17	1652.71
402.38	1640.42
402.59	1658.85
402.80	1970.15
403.00	1634.28
403.21	1578.98
403.42	1574.89
403.63	1558.50
403.84	1597.42
