346.57	1318.89
346.78	1318.89
346.99	1318.89
347.20	1298.41
347.41	1353.71
347.62	1427.43
347.83	1388.52
348.04	1361.90
348.25	1445.87
348.46	1466.35
348.67	1398.76
348.88	1404.91
349.09	1351.66
349.30	1417.19
349.51	1398.76
349.72	1439.72
349.93	1406.95
350.14	1390.57
350.35	1466.35
350.56	1380.33
350.77	1413.10
350.98	1456.11
351.19	1417.19
351.40	1378.28
351.61	1392.62
351.82	1419.24
352.03	1341.42
352.24	1411.05
352.45	1425.39
352.66	1380.33
352.87	1464.30
353.08	1482.73
353.29	1398.76
353.50	1443.82
353.71	1462.25
353.92	1370.09
354.13	1454.06
354.34	1394.67
354.55	1411.05
354.76	1402.86
354.97	1419.24
355.18	1427.43
355.39	1386.47
355.60	1468.39
355.80	1476.59
356.01	1351.66
356.22	1372.14
356.43	1454.06
356.64	1435.63
356.85	1431.53
357.06	1437.67
357.27	1419.24
357.48	1449.96
357.69	1374.19
357.90	1458.15
358.11	1402.86
358.32	1427.43
358.53	1470.44
358.74	1388.52
358.95	1368.04
359.16	1441.77
359.37	1386.47
359.58	1505.26
359.79	1388.52
360.00	1454.06
360.21	1417.19
360.42	1429.48
360.63	1368.04
360.84	1429.48
361.05	1341.42
361.26	1417.19
361.46	1386.47
361.67	1402.86
361.88	1411.05
362.09	1429.48
362.30	1411.05
362.51	1484.78
362.72	1435.63
362.93	1396.71
363.14	1429.48
363.35	1423.34
363.56	1443.82
363.77	1421.29
363.98	1458.15
364.19	1478.63
364.40	1384.43
364.61	1427.43
364.82	1325.04
365.03	1447.91
365.24	1468.39
365.44	1384.43
365.65	1394.67
365.86	1443.82
366.07	1337.32
366.28	1312.75
366.49	1370.09
366.70	1394.67
366.91	1447.91
367.12	1396.71
367.33	1415.15
367.54	1392.62
367.75	1468.39
367.96	1292.27
368.17	1351.66
368.38	1404.91
368.58	1415.15
368.79	1458.15
369.00	1366.00
369.21	1435.63
369.42	1409.00
369.63	1486.83
369.84	1406.95
370.05	1466.35
370.26	1370.09
370.47	1427.43
370.68	1439.72
370.89	1470.44
371.09	1388.52
371.30	1476.59
371.51	1476.59
371.72	1406.95
371.93	1382.38
372.14	1325.04
372.35	1437.67
372.56	1363.95
372.77	1347.56
372.98	1474.54
373.19	1437.67
373.40	1388.52
373.60	1429.48
373.81	1376.24
374.02	1415.15
374.23	1382.38
374.44	1406.95
374.65	1404.91
374.86	1392.62
375.07	1406.95
375.28	1380.33
375.49	1435.63
375.69	1353.71
375.90	1411.05
376.11	1402.86
376.32	1392.62
376.53	1445.87
376.74	1517.54
376.95	1425.39
377.16	1370.09
377.37	1400.81
377.58	1378.28
377.78	1417.19
377.99	1470.44
378.20	1378.28
378.41	1449.96
378.62	1484.78
378.83	1390.57
379.04	1466.35
379.25	1409.00
379.46	1392.62
379.66	1398.76
379.87	1447.91
380.08	1359.85
380.29	1361.90
